v1,v2,Unnamed: 2,Unnamed: 3,Unnamed: 4
ham,Nice talking to you! please dont forget my pix :) i want to see all of you...,,,
ham,ÌÏ no home work to do meh... ,,,
ham,Might ax well im there.,,,
spam,"Thanks for your ringtone order, reference number X49. Your mobile will be charged 4.50. Should your tone not arrive please call customer services 09065989182. From: [colour=red]text[/colour]TXTstar",,,
ham,Who u talking about?,,,
ham,"Babe, I need your advice",,,
ham,"Its ok, called mom instead have fun",,,
spam,Call 09095350301 and send our girls into erotic ecstacy. Just 60p/min. To stop texts call 08712460324 (nat rate),,,
ham,Its good to hear from you,,,
spam,CALL 09090900040 & LISTEN TO EXTREME DIRTY LIVE CHAT GOING ON IN THE OFFICE RIGHT NOW TOTAL PRIVACY NO ONE KNOWS YOUR [sic] LISTENING 60P MIN 24/7MP 0870753331018+,,,
ham,Cab is available.they pick up and drop at door steps.,,,
ham,Think I could stop by in like an hour or so? My roommate's looking to stock up for a trip,,,
ham,"Derp. Which is worse, a dude who always wants to party or a dude who files a complaint about the three drug abusers he lives with",,,
ham,You still around? I could use a half-8th,,,
ham,He says he'll give me a call when his friend's got the money but that he's definitely buying before the end of the week,,,
ham,Or maybe my fat fingers just press all these buttons and it doesn't know what to do.,,,
spam,Text PASS to 69669 to collect your polyphonic ringtones. Normal gprs charges apply only. Enjoy your tones,,,
ham,Havent stuck at orchard in my dad's car. Going 4 dinner now. U leh? So r they free tonight?,,,
ham,Understand. his loss is my gain :) so do you work? School?,,,
ham,alright tyler's got a minor crisis and has to be home sooner than he thought so be here asap,,,
ham,"Call me when you/carlos is/are here, my phone's vibrate is acting up and I might not hear texts",,,
ham,"My Parents, My Kidz, My Friends n My Colleagues. All screaming.. SURPRISE !! and I was waiting on the sofa.. ... ..... ' NAKED...!",,,
ham,How come u got nothing to do?,,,
spam,Sex up ur mobile with a FREE sexy pic of Jordan! Just text BABE to 88600. Then every wk get a sexy celeb! PocketBabe.co.uk 4 more pics. 16 å£3/wk 087016248,,,
ham,Hi. I'm always online on yahoo and would like to chat with you someday,,,
ham,Great! I hope you like your man well endowed. I am  &lt;#&gt;  inches...,,,
spam,Can U get 2 phone NOW? I wanna chat 2 set up meet Call me NOW on 09096102316 U can cum here 2moro Luv JANE xx Callså£1/minmoremobsEMSPOBox45PO139WA,,,
ham,What i told before i tell. Stupid hear after i wont tell anything to you. You dad called to my brother and spoken. Not with me.,,,
ham,Got c... I lazy to type... I forgot Ì_ in lect... I saw a pouch but like not v nice...,,,
ham,Only once then after ill obey all yours.,,,
ham,MMM ... Fuck .... Merry Christmas to me,,,
