v1,v2,Unnamed: 2,Unnamed: 3,Unnamed: 4
ham,Never y lei... I v lazy... Got wat? Dat day Ì_ send me da url cant work one...,,,
ham,"Dear Hero,i am leaving to qatar tonite for an apt opportunity.pls do keep in touch at  &lt;EMAIL&gt; ,kerala",,,
ham,No got new job at bar in airport on satsgettin 4.47per hour but means no lie in! keep in touch,,,
ham,Talk With Yourself Atleast Once In A Day...!!! Otherwise You Will Miss Your Best FRIEND In This WORLD...!!! -Shakespeare- SHESIL  &lt;#&gt;,,,
ham,Buzzzz! *grins* Did I buzz your ass? Buzz your chest ? Buzz your cock ? Where do you keep your phone ? Is the vibrator on ? Did you feel it shake ?,,,
ham,She doesnt need any test.,,,
ham,"Coffee cake, i guess...",,,
ham,"It wont b until 2.15 as trying 2 sort house out, is that ok?",,,
ham,LOOK AT THE FUCKIN TIME. WHAT THE FUCK YOU THINK IS UP,,,
ham,HEY GIRL. HOW R U? HOPE U R WELL ME AN DEL R BAK! AGAIN LONG TIME NO C! GIVE ME A CALL SUM TIME FROM LUCYxx,,,
ham,Ard 6 like dat lor.,,,
ham,Hai dear friends... This is my new &amp; present number..:) By Rajitha Raj (Ranju),,,
ham,I've told him that i've returned it. That should i re order it.,,,
ham,"Wishing you and your family Merry \X\"" mas and HAPPY NEW Year in advance..""",,,
ham,So wat's da decision?,,,
ham,"A Boy loved a gal. He propsd bt she didnt mind. He gv lv lttrs, Bt her frnds threw thm. Again d boy decided 2 aproach d gal , dt time a truck was speeding towards d gal. Wn it was about 2 hit d girl,d boy ran like hell n saved her. She asked 'hw cn u run so fast?' D boy replied \Boost is d secret of my energy\"" n instantly d girl shouted \""our energy\"" n Thy lived happily 2gthr drinking boost evrydy Moral of d story:- I hv free msgs:D;): gud ni8""",,,
ham,"It's cool, we can last a little while. Getting more any time soon?",,,
ham,Yar... I tot u knew dis would happen long ago already.,,,
ham,Its  &lt;#&gt; k here oh. Should i send home for sale.,,,
ham,Nope watching tv at home... Not going out. V bored...,,,
ham,"Miss ya, need ya, want ya, love ya.",,,
ham,Hey... What time is your driving on fri? We go for evaluation on fri?,,,
ham,And pls pls drink plenty plenty water,,,
ham,What's nannys address?,,,
ham,How are you. Its been ages. How's abj,,,
